2020/10/14 08:53:42 [emerg] 9752#14372: CreateDirectory() "C:\Repository\My-notes\Nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2020/10/14 09:23:00 [error] 2584#1316: *600 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602656578773 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602656578773", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:23:23 [error] 2584#1316: *602 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /polyfills.js HTTP/1.1", upstream: "http://[::1]:4200/polyfills.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:23:38 [error] 2584#1316: *651 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /sockjs-node/319/boccoo4f/xhr_streaming?t=1602656616773 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/319/boccoo4f/xhr_streaming?t=1602656616773", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:23:52 [error] 2584#1316: *652 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /sockjs-node/710/bcmgcblq/xhr_streaming?t=1602656630773 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/710/bcmgcblq/xhr_streaming?t=1602656630773", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:24:00 [error] 2584#1316: *647 upstream prematurely closed connection while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /Api/Note/ HTTP/1.1", upstream: "https://127.0.0.1:44338/Api/Note/", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:24:13 [error] 2584#1316: *676 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /__webpack_dev_server__/sockjs.bundle.js HTTP/1.1", upstream: "http://[::1]:4200/__webpack_dev_server__/sockjs.bundle.js", host: "localhost", referrer: "http://localhost/sockjs-node/iframe.html"
2020/10/14 09:24:28 [error] 2584#1316: *689 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /polyfills.js HTTP/1.1", upstream: "http://[::1]:4200/polyfills.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:24:49 [error] 2584#1316: *733 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /polyfills.js HTTP/1.1", upstream: "http://[::1]:4200/polyfills.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:24:49 [error] 2584#1316: *738 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /vendor.js HTTP/1.1", upstream: "http://[::1]:4200/vendor.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:25:02 [error] 2584#1316: *774 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /runtime.js HTTP/1.1", upstream: "http://[::1]:4200/runtime.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:25:22 [error] 2584#1316: *786 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /polyfills.js HTTP/1.1", upstream: "http://[::1]:4200/polyfills.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:25:22 [error] 2584#1316: *785 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /vendor.js HTTP/1.1", upstream: "http://[::1]:4200/vendor.js", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:25:37 [error] 2584#1316: *850 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /runtime.js HTTP/1.1", upstream: "http://[::1]:4200/runtime.js", host: "localhost", referrer: "http://localhost/"
